path,precision,recall,average_tpr,tp_tp_ratio,tp_fp_ratio,e2e_acc
eb6_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,1.0,0.0,1.0
eb6_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.8328302404555280,0.16716975954447200,0.7178452373032940
eb6_checkpoint_150epochs_yolov5m,0.9585887080407520,0.7430214175036770,0.7199131229995430,0.8045772597838400,0.19542274021616000,0.5792257277853990
eb6_checkpoint_150epochs_yolov5n,0.9622823984526110,0.00782608011703726,0.00782368019626036,0.6110552763819100,0.38894472361809000,0.004780701064649550
eb5_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.5452614854607950,0.4547385145392050,0.5452614854607950
eb5_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.5391726408945910,0.4608273591054090,0.46473157859724600
eb5_checkpoint_150epochs_yolov5m,0.9585887080407520,0.7430214175036770,0.7199131229995430,0.48686843024548300,0.5131315697545180,0.35050297210791000
eb5_checkpoint_150epochs_yolov5n,0.9622823984526110,0.00782608011703726,0.00782368019626036,0.29246231155778900,0.7075376884422110,0.0022881315950872000
eb4_checkpoint_150epochs_yolov5x,0.8645153189352080,0.05415332824703670,0.053697608760080500,0.03195352214960060,0.9680464778503990,0.001715827730895820
eb4_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.029087915480396500,0.9709120845196030,0.025071882091196000
eb4_checkpoint_150epochs_yolov5m,0.8966902313624680,0.04389683731978390,0.04367594809910630,0.03207310517828350,0.9679268948217170,0.0014008232771438900
eb4_checkpoint_150epochs_yolov5n,0.9622823984526110,0.00782608011703726,0.00782368019626036,0.03919597989949750,0.9608040201005030,0.0003066568117127180
eb3_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.37978904978016200,0.6202109502198380,0.37978904978016200
eb3_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.3450331012245740,0.6549668987754260,0.2973959834726630
eb3_checkpoint_150epochs_yolov5m,0.9585887080407520,0.7430214175036770,0.7199131229995430,0.3321371484222000,0.6678628515778000,0.2391098917847890
eb3_checkpoint_150epochs_yolov5n,0.9622823984526110,0.00782608011703726,0.00782368019626036,0.24623115577889400,0.7537688442211060,0.0019264338171696400
eb2_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.036330315638789000,0.9636696843612110,0.036330315638789000
eb2_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.03722601447535420,0.9627739855246460,0.03208639155597930
eb2_checkpoint_150epochs_yolov5m,0.9585887080407520,0.7430214175036770,0.7199131229995430,0.0427239141710862,0.9572760858289140,0.030757506477671100
eb2_checkpoint_150epochs_yolov5n,0.9622823984526110,0.00782608011703726,0.00782368019626036,0.053266331658291500,0.9467336683417090,0.0004167387441224110
eb1_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.005230495756612840,0.9947695042433870,0.005230495756612840
eb1_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.004956608239289270,0.9950433917607110,0.004272272361058760
eb1_checkpoint_150epochs_yolov5m,0.9585887080407520,0.7430214175036770,0.7199131229995430,0.0059915102628431100,0.9940084897371570,0.004313366864807190
eb1_checkpoint_150epochs_yolov5n,0.9622823984526110,0.00782608011703726,0.00782368019626036,0.012060301507537700,0.9879396984924620,9.43559420654516E-05
eb0_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.02034780830429690,0.9796521916957030,0.02034780830429690
eb0_checkpoint_150epochs_yolov5l,0.9346606392869740,0.9172008589024610,0.8619346445809400,0.02165300312146260,0.9783469968785370,0.018663473549607900
eb0_checkpoint_150epochs_yolov5m,0.9585887080407520,0.7430214175036770,0.7199131229995430,0.01967882964421440,0.9803211703557860,0.014167047706142400
eb0_checkpoint_150epochs_yolov5n,0.9769335142469470,0.1132618630003380,0.11295978161108900,0.013541666666666700,0.9864583333333330,0.0015296637093168300